id,created_at,text,geo,coordinates,retweet_count,favorite_count
1208489093925146626,Sat Dec 21 20:47:07 +0000 2019,"@SamsonMburu3 I don't have time for silly distractions. Our agenda is the LIBERATION OF KENYA, not whom Despot Uhur… https://t.co/WCyIiRtOOh",,,2,9
1208487073184993280,Sat Dec 21 20:39:05 +0000 2019,"This KANU deadwood Noah Wekesa is still polluting air and depleting oxygen in Kenya? 

Despot Kenyatta must be sent… https://t.co/UTt1ksovjR",,,33,201
1208482063680229381,Sat Dec 21 20:19:11 +0000 2019,@zungumuza @RailaOdinga @WilliamsRuto You have not understood my message. The problem with characters like you is t… https://t.co/kW1LyDtRaH,,,7,136
1208481164174004226,Sat Dec 21 20:15:36 +0000 2019,"@Victorbrownke @ntvkenya No, I did not, zombie. I resigned from ODM in 2011 and never went back. I was an independe… https://t.co/xq3XJs6lm5",,,1,11
1208477503284809729,Sat Dec 21 20:01:03 +0000 2019,@RoyKoskey You should have stated it that way. My TL is allergic to convoluted verbiage. Be precise. Cheers.,,,2,6
1208477206864904195,Sat Dec 21 19:59:53 +0000 2019,@SamsonMburu3 Hogwash! Clean your polluted brain with it.,,,0,10
1208476420231577601,Sat Dec 21 19:56:45 +0000 2019,"@Victorbrownke @ntvkenya I never ""sold"" the conman, zombie! I ARTICULATED issues of JUSTICE - social justice and el… https://t.co/TytadgeoZF",,,0,3
1208474628114538496,Sat Dec 21 19:49:38 +0000 2019,"Conman @RailaOdinga: I'm sure that you watched this and cannot sleep. I told you that cowardice, conmanship, betray… https://t.co/mbWK5zeow3",,,232,1399
1208473836477386752,Sat Dec 21 19:46:29 +0000 2019,"We already have an imperial illegitimate president and rogue NIS, provincial administration and police service. Whe… https://t.co/FMIKQi5Zl0",,,58,239
1208471157973934080,Sat Dec 21 19:35:51 +0000 2019,"How Despot Uhuru Kenyatta has Institutionalized Impunity

Subverted the Katiba and imposed himself as above the law… https://t.co/o7jCmg3Ced",,,69,290
1208467528718200834,Sat Dec 21 19:21:25 +0000 2019,"@poetsenior @JubileePartyK Action without words is foolishness, zombie. The word ACTION is a WORD. We want and must… https://t.co/s7xUbjJqLt",,,1,23
1208464715913060352,Sat Dec 21 19:10:15 +0000 2019,"To Senior Counsel James Orengo: Chris Msando, Baby Pendo, Moraa Nyarangi, Master Mutinda and other innocent Kenyans… https://t.co/fe2u1qrZvN",,,72,535
1208456446922362881,Sat Dec 21 18:37:23 +0000 2019,@jameswanyoike Good that you finally got the message.,,,0,3
1208454022094639104,Sat Dec 21 18:27:45 +0000 2019,"@RoyKoskey I said REVOLUTION, zombie.",,,0,20
1208452705573838848,Sat Dec 21 18:22:31 +0000 2019,"The FINAL NAIL in the despotic nonsense called #BBI.

""This country wants to see Mr Odinga lead it to Canaan throug… https://t.co/MZsRiPxGEe",,,95,628
1208405893467033600,Sat Dec 21 15:16:30 +0000 2019,"Breaking Bread with a new KRF Captain and colleagues....

Happy Kwanza everybody.

#RevolutionNow #DespotsMustFall https://t.co/xqXEuevJfG",,,52,650
1208392215871008768,Sat Dec 21 14:22:09 +0000 2019,"@jameswanyoike First, you have not understood my message, nor have you Ngugi Wa Thiong'o's. Second, I never stated… https://t.co/LbjDOEMGAL",,,0,6
1208391269942267909,Sat Dec 21 14:18:24 +0000 2019,"@RabbitTheKing @dailynation Yes, but It's not because they are ""politicians."" Politics is an innocent HIJACKED inst… https://t.co/GwC0z2Y74r",,,20,174
1208387486713602055,Sat Dec 21 14:03:22 +0000 2019,"@jameswanyoike Reread DECOLONIZING THE MIND again. Try to understand it. You seem not to have understood it, chief.",,,1,4
1208387264671371271,Sat Dec 21 14:02:29 +0000 2019,"@jameswanyoike Which society has ""accepted submission to the big men"" as the ""norm?"" Which one?",,,0,1
1208386816509919233,Sat Dec 21 14:00:42 +0000 2019,"@JeffObure @uonbi Moreover, my Tweet that you responded to without comprehending stated that Joyce Wambui has never… https://t.co/Q7zIBKonFk",,,0,2
1208385711931572230,Sat Dec 21 13:56:19 +0000 2019,"@JeffObure @uonbi False. She was celebrating 50 years of despotism. If you can read, try to comprehend. Joyce Wambu… https://t.co/Y0OHq5NoYO",,,0,7
1208384433537060864,Sat Dec 21 13:51:14 +0000 2019,"@mykhie @kutuarchive I don't ""pin everybody."" The man tagged me. He stated something I disagree with. I stated my m… https://t.co/SzqbmpTYGu",,,0,14
1208377366478827520,Sat Dec 21 13:23:09 +0000 2019,"@jameswanyoike What is this: ""The generally accepted social order""...?",,,0,2
1208374456139309056,Sat Dec 21 13:11:35 +0000 2019,"@MartinKariukiKE The correct word is COUNSEL - not ""council.""

Our duty is to transform Kenya for the greater good… https://t.co/epZcnHVN2W",,,2,19
1208372815583420423,Sat Dec 21 13:05:04 +0000 2019,"@MartinKariukiKE Get them from

https://t.co/CCOqJBfF0J

or

https://t.co/qg17GznWGw",,,1,7
1208372564382408705,Sat Dec 21 13:04:04 +0000 2019,"@jameswanyoike What is the meaning of ""social attitudes?"" That's meaningless verbiage. Don't troll me with unrefined refuse from River Road.",,,0,14
1208370271045992448,Sat Dec 21 12:54:57 +0000 2019,"The world celebrates writers like Jose Marti, Karl Marx, Garcia Marquez, Ngugi Wa Thiong'o and Václav Havel not bec… https://t.co/ktF2pwGEQi",,,119,731
1208367570732146688,Sat Dec 21 12:44:13 +0000 2019,"Joyce Wambui Nyairo is supposedly ""a senior lecturer in Literature"" at the @Uonbi, yet she has never published anyt… https://t.co/cQrAq687se",,,38,309
1208365433016877057,Sat Dec 21 12:35:44 +0000 2019,@kutuarchive Education is NOT for the rich. Delete that silly statement from your Tweet before tagging me.,,,2,14
1208365007194472448,Sat Dec 21 12:34:02 +0000 2019,Joyce Wambui Nyairo has done a poor REACTIONARY hatchet job on King Kaka's #Wajinganyiyi in the @dailynation. She k… https://t.co/AbflQgDCaI,,,87,633
1208248607033503744,Sat Dec 21 04:51:30 +0000 2019,With 2 Patriots at an end of year party before the historic #Homecoming. Viva! #RevolutionNow https://t.co/VjNKRx0ZTV,,,192,2030
1208241889809444864,Sat Dec 21 04:24:49 +0000 2019,@cbs_ke @RabbitTheKing @ahmednasirlaw Why did you want me to hit him softly?,,,2,44
1208240920489017345,Sat Dec 21 04:20:58 +0000 2019,"@mohammedhersi ""Allow Miguna to come back"" sounds more like they own Kenya and have the ultimate power to deny me e… https://t.co/OjFZ5CrII0",,,8,66
1208121627906576384,Fri Dec 20 20:26:56 +0000 2019,"@steveluvai Ask yourself that question, Mjinga.",,,1,55
