id,created_at,text
1204395275575418881,2019-12-10 13:39:44,b'RT @stacceeeeeeee: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/YlHOO5b118'
1204395231984201730,2019-12-10 13:39:34,b'My hommie @_PunStar \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 \xf0\x9f\x91\x8c https://t.co/DgNOZjyrwu'
1204393976373096453,2019-12-10 13:34:35,b'RT @Jontae254: Ndio hii ingine @crazynairobian https://t.co/5Zu5C7OzEM'
1204393876569690112,2019-12-10 13:34:11,b'@Jontae254 Aaah hawa wasee hawaishi bana \xf0\x9f\x98\xa9\xf0\x9f\x98\xa9\xf0\x9f\x98\xa9\xf0\x9f\x98\xa9'
1204390423969574913,2019-12-10 13:20:28,b'RT @alfylion: .@NgigeNjoroge eastlando finest https://t.co/NNxjg3rsXd'
1204389933806428160,2019-12-10 13:18:31,b'@finallymendel Unachoma bana \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1204389820593790976,2019-12-10 13:18:04,b'RT @finallymendel: Literally this THREAD https://t.co/Z1uqfr2hp8 https://t.co/un3yvuNTYH'
1204389760111906817,2019-12-10 13:17:49,b'@DeReuel Mbona kila mtu anaona ni kama Bayern ita draw? \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1204389468440027136,2019-12-10 13:16:40,b'@finallymendel \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x8c'
1204389434512355328,2019-12-10 13:16:32,b'RT @finallymendel: For those who have read this https://t.co/Z1uqfr2hp8 https://t.co/MVAufNbYWn'
1204387702134779905,2019-12-10 13:09:39,"b'Zimebaki 1,400 \xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88 https://t.co/bM5sqoj5jh'"
1204386017614221313,2019-12-10 13:02:57,b'RT @minded_guy: Stand in for trial \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/QB9TeJ37p0 https://t.co/iDkjRa33JB'
1204385705813827584,2019-12-10 13:01:43,b'RT @AmDimples: They will still come back to us after eating the meal plus you. https://t.co/3L3bX3Ve9D'
1204385315479281664,2019-12-10 13:00:10,b'@ericmlinturi Mbona umedharau Bayern pal \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1204385097882972162,2019-12-10 12:59:18,"b'@nashiinana Yeah, though bado wanani tafta na hizi parody zao mingi mingi ku confuse watu \xf0\x9f\x98\xa2'"
1204384464853504000,2019-12-10 12:56:47,b'RT @wavinyaaa: \xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9 https://t.co/vgUA6F5eUL https://t.co/W0aGdzdp7R'
1204384108450848769,2019-12-10 12:55:22,b'@Schira_sam Niko sawa \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Naona nikibeba hii 500K niende holiday Paris'
1204383870302478337,2019-12-10 12:54:25,b'@nashiinana Hi Nashii \xf0\x9f\x98\xa2 account ilienda \xf0\x9f\x98\xad\xf0\x9f\x98\xad'
1204383376016379904,2019-12-10 12:52:27,"b'Zimebaki 1,500 sasa \xf0\x9f\x99\x88\xf0\x9f\x99\x88 https://t.co/bM5sqoj5jh'"
1204382538292224000,2019-12-10 12:49:08,b'Billy Octopus \xf0\x9f\x90\x99 hapa... Nani anataka sure Bet? Ndio hiyo \xf0\x9f\x99\x88\nhttps://t.co/E7Wpn9Y4Rq https://t.co/USYUoXc8Qf'
1204381769933447168,2019-12-10 12:46:04,b'RT @sarahsomba: Vi...Vijana \xf0\x9f\x98\x82\xf0\x9f\x98\x82 @ItsJeffreyJeff cheki Effects \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x8f\x8c\xef\xb8\x8f\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/DkdA6wsadS'
1204381043907846144,2019-12-10 12:43:11,b'Enda Rongai utampata https://t.co/IyUlc7DYcQ'
1204379849030340609,2019-12-10 12:38:26,b'RT @JumiaFoodKE: FREE PIZZA!\xf0\x9f\x8d\x95\xf0\x9f\x8d\x95\xf0\x9f\x98\x8d Up for a free pizza this Tuesday ? Buy 1 large from Gilanis Restaurant  &amp; get 1 pizza free. \n\nMention a Nak\xe2\x80\xa6'
1204378572317712385,2019-12-10 12:33:22,b'@ItsJeffreyJeff @KulanCafe \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Hii Mbogi imeweza'
1204378261117177856,2019-12-10 12:32:08,"b'@KulanCafe Sambamba, wacha niambie date atafte dress ya maana \xf0\x9f\x91\x8c'"
1204376635413344256,2019-12-10 12:25:40,"b'Aye, zimebaki tu 1,600 retweets tumalize hii story... Si mukuje na zile retweets za Tharaka Nithi tujenge huyu dem\xe2\x80\xa6 https://t.co/sMwjrduUY8'"
1204376034558263296,2019-12-10 12:23:17,b'RT @Jamnic_: Last weekend got a maximum of 9 points \xf0\x9f\x98\x85\xf0\x9f\x98\x85 with no single correct scores. \nTrying my luck with the champions league games.  &gt;ht\xe2\x80\xa6'
1204375963687096320,2019-12-10 12:23:00,"b'RT @Jo_Kimoney: So Mollage has said shes a hoe, meaning her body parts have the mileage of an Uber Chapchap? https://t.co/ynkCsHmw9e'"
1204375672594075648,2019-12-10 12:21:51,b'RT @NotYetFunny: @TECNOMobile254 This Christmas season i want to hang out with this G.O.A.T  @crazynairobian THREAD King i get first hand T\xe2\x80\xa6'
1204375657385353216,2019-12-10 12:21:47,"b""Ni filter tu hii picha imekosa but I'm handsome AF \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x91\x8c https://t.co/jDFcSg2wKI"""
1204374511216418817,2019-12-10 12:17:14,b'RT @AqsalTz: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/RR9oKTvA8m'
1204374294471548928,2019-12-10 12:16:22,b'RT @DinuK255: I feel like i should read this kama bed time story \xf0\x9f\x98\x85 https://t.co/rM0n44VrZ7'
1204374176397692928,2019-12-10 12:15:54,b'Hiyo ndio kitu narudi kufanya mtaani \xf0\x9f\x91\x8a https://t.co/MPX4oboTI1'
1204373898487369728,2019-12-10 12:14:48,b'RT @WaizerEsya: This\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/d1QWUWCMdg'
1204373824977944576,2019-12-10 12:14:30,b'RT @WaizerEsya: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82yoooo https://t.co/exJinDHfXO'
1204373615451525120,2019-12-10 12:13:40,b'RT @MelMwau: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/ZYRw9t72Bo'
1204373531955466240,2019-12-10 12:13:20,"b'RT @MweshezThedon: Unasema kushare dem kama urinals, ujaona contact list za hao madem unaeza dhani ni IEBC register usistuke kuona the dead\xe2\x80\xa6'"
1204373468084609024,2019-12-10 12:13:05,b'RT @MussaSanta: Billy the Goat thread\xf0\x9f\x98\x85\xf0\x9f\x98\x85\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe https://t.co/zBH1Fnz08G'
1204373322584252418,2019-12-10 12:12:30,b'Aye @KulanCafe Thursday niko huko lunch.. Hapo vipi?'
1204368079154819072,2019-12-10 11:51:40,b'RT @GirlyCheroh: Kuitwa Malaya si matusi tena\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 tumejikubali na tunasonga mbele kama injili'
1204363162943918084,2019-12-10 11:32:08,"b'RT @EZRAwaCHELSKI: Octopizzo really opened his verse in Wakaritho by saying:\n\n""Pili pili, chilly chilly, \nPewa nduuuma, \nWater lilies""\n\nAnd\xe2\x80\xa6'"
1204362529335599105,2019-12-10 11:29:37,b'RT @JumiaFoodKE: Zucchini Greengrocers is now on Jumia Food https://t.co/i8yYVvOsWX'
1204356440133165056,2019-12-10 11:05:25,b'RT @JumiaFoodKE: Get your cheesy stacks up as you order a burger of choice from @BrewBistroKenya and get another one for free!   \n\n\xf0\x9f\x91\x89 https:\xe2\x80\xa6'
1204356347686465537,2019-12-10 11:05:03,b'RT @JumiaFoodKE: https://t.co/Ff0D6lVm7D https://t.co/lvwRipWJqc'
1204356029238132738,2019-12-10 11:03:47,"b'RT @OsamaOtero: Hunnie check it out, you got me mesmerized with your black hair and fat ass thighs. Tweeting poetry is my everyday but yow\xe2\x80\xa6'"
1204355343255506944,2019-12-10 11:01:04,b'RT @iamchagga: King Of Threads\xf0\x9f\x92\xaf https://t.co/pXYGcIQ5a0'
1204355096068444160,2019-12-10 11:00:05,b'RT @carlomolovely: VIA BLUETOOTH\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80this thread has bangers but this was unprecedented\xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80 https://t\xe2\x80\xa6'
1204355057766084608,2019-12-10 10:59:56,"b""RT @naimatapei: I'm dying\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/sdA6kwWDk0"""
1204355002661257217,2019-12-10 10:59:43,b'RT @Kasimbi11: Taniuaa!\xf0\x9f\x98\x82 https://t.co/f7btikMEm3'
1204354986051883014,2019-12-10 10:59:39,b'RT @sean_gowe: Wanaume ni wabaya lakini \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/6bUZqIE3EN'
1204354899653332992,2019-12-10 10:59:18,b'Connection kama kawaida https://t.co/i5Umxsppsy'
1204354791784271873,2019-12-10 10:58:52,b'RT @naimatapei: Punyeto\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/GzFYDgv3Ei'
1204354731147177984,2019-12-10 10:58:38,b'RT @AmJoseh: Why i hate shaking hands\xf0\x9f\xa4\xa3 https://t.co/iU7IVtrMg5'
1204354710943256577,2019-12-10 10:58:33,b'RT @karanjafrank: \xf0\x9f\x98\x82 https://t.co/w7Mu8EKWU7'
1204354696800018432,2019-12-10 10:58:30,b'RT @BrayohadezM: @crazynairobian hiyo life sio ya wengi\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/FXEUqzl43m'
1204354586586337280,2019-12-10 10:58:03,b'RT @GeorgeKarongo1: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/klTu1nIrtf'
1204354570081783808,2019-12-10 10:57:59,b'RT @ryanmark644: The \xf0\x9f\x90\x90 without doubt\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x99\x8c\xf0\x9f\x98\x82 https://t.co/h5UNqQ6R23'
